ID,NAME OF THE DAM,OTHER NAME,DECIMAL DEGREE LATITUDE,DECIMAL DEGREE LONGITUDE,HEIGHT,LENGTH,RESERVOIR CAPACITY,RESERVOIR AREA,RESERVOIR NAME,RIVER,INTERNATIONAL,YEAR OF COMPLETION,FLOOD CONTROL,IRRIGATION,HYDROELECTRICITY,NAVIGATION,RECREATION,WATER SUPPLY,OTHER USE,COUNTRY,NEAREST TOWN,STATE / PROVINCE,NOTE
2.004,MILLUNI,,-16.36607,-68.165527,9.1,,10.8,58.56,,Milluni,,,,,,,,X,,Bolivia,Pucurani,,
2.0041,MISICUNI,,-17.095116,-66.33065036,120,,180,4.6,,Misicuni,,2013,,X,X,,,X,,Bolivia,Cochabamba,Cochabamba,
2.0042,MURUMUNTANI,,-17.348722,-65.730221,21,300,0.89,0.0229,,Yana Chanka,,2010,,X,,,,,,Bolivia,Tiraque,Cochabamba,
2.0043,MUYU LOMA,,-17.404512,-65.614331,8,,1,0.00172,,Talpasale,,1947,,X,,,,,,Bolivia,Tiraque,,
2.0044,PACHAJ QHOCHA,,-17.383804,-65.66266285,10,,1.589,0.00488,,Jatun Sallamani,,1980,,X,,,,,,Bolivia,Tiraque,,
2.0045,PADCOYO,,-20.257167,-65.155733,18,59,0.136,16.46,,Pajcha,,1993,,X,,,,,,Bolivia,San Lucas,Chuquisaca,
2.0046,PATICONGA,,-20.189956,-65.172426,22,55,2.26,42,,San Lucas Khocha,,2006,,X,,,,,,Bolivia,Nor Cinti,Chuquisaca,
2.0047,PAYACOTA DEL CARMEN,,-20.238443,-65.253055,15,61,0.24,28.52,,Lique Mayu,,1993,,X,,,,,,Bolivia,San Lucas,Chuquisaca,
2.0048,QUECOMA,,-17.701292,-65.791415,29,90,0.7,0.0075,,Quecoma,,2008,,X,,,,,,Bolivia,Sacabamba,Cochabamba,
2.0049,SAN GERÓNIMO,,-18.840277,-64.64777778,15,196,0.36,3.25,,San Gerónimo,,1993,,X,,,,,,Bolivia,Mojocoya,Chuquisaca,
2.005,SAN JACINTO,,-21.601797,-64.726577,49,100,54.3,4.6,,Tolomosa,,1986,,X,X,,,,,Bolivia,Tarija,Tarija,
2.0051,SAN JOSÉ,,-17.452385,-65.922884,25,26,0.104,0.00153,,Condor Punana,,1950,,X,,,,,,Bolivia,Sacaba,Cochabamba,
2.0052,SAYTU KHOCHA AGUAS ABAJO,,-17.209101,-66.188323,15,238,1,0.00383,,Saitu Laguna,,1990,,X,,,,,,Bolivia,Tiquipaya,Cochabamba,
2.0053,SAYTU QHOCHA ARRIBA,,-17.219722,-66.2025,7,,1,0.00383,,Saitu Laguna,,1990,,X,,,,,,Bolivia,Tiquipaya,,
2.0054,TACAGUA,,-18.826264,-66.73309282,25,,34,1230,,"Crucero, Berenguela Huancarani",,1960,,X,,,,,,Bolivia,Challapata,,
2.0055,TAPERA,,-18.249172,-65.19573756,15,90,0.47,0.00722,,Leche Mayu,,,,X,,,,,,Bolivia,Alquile,Cochabamba,
2.0056,TAQUIÑA,,-17.284057,-66.151782,12,,1,0.00475,,Río Roca,,,,,,,,,X,Bolivia,Cercado,,
2.0057,TAYPICHACA,,-16.213652,-68.35466988,8,,8,26.67,,Qda. Miraflores,,,,X,,,,,,Bolivia,Batallas,,
2.0058,TOTORA QHOCHA,,-17.460628,-65.62739,18,95,21.5,0.01384,,Talpasale,,1994,,X,,,,,,Bolivia,Tiraque,Cochabamba,
2.0059,EL TRANQUE,,-20.809055,-64.947084,36,140,6,0.42,,Culpina,,1940,,X,,,,,,Bolivia,Culpina,Chuquisaca,
2.006,EL TRANQUE,,-18.372812,-66.51672369,78,,30,596,,Tranque,,1952,,,X,,,,,Bolivia,Llallagua,,
2.0061,TUNI,,-16.244733,-68.25440601,18.5,,21.549,16.6,,Paya Huichinta,,1942,,X,,,,X,,Bolivia,Pucurani,,
2.0062,VILA CHURURUNI,,-16.417411,-67.860644,5.5,,2.6005,1.44,,Chururuni,,2003,,,X,,,,,Bolivia,Yanacachi,,
